,MODELO,PREVISAO,PREÇO MERCADO,PREVISAO-PREÇO,(PREVISAO-PREÇO)%
26,Reno 6 PRO,3626.72,4902.02,-1275.3,0.26
55,Doogee V30,2538.4,3417.0,-878.6,0.26
25,A77,1050.26,1749.14,-698.89,0.4
28,Reno 8 PRO,3352.59,4001.81,-649.22,0.16
24,A57,866.04,1453.98,-587.94,0.4
15,Galaxy A24 4G,975.05,1554.0,-578.95,0.37
30,Poco  C55,927.22,1459.0,-531.78,0.36
53,Xiaomi 12t,2908.32,3311.5,-403.18,0.12
10,Galaxy M23,1394.64,1759.5,-364.86,0.21
47,RedMi 12,970.74,1271.7,-300.95,0.24
51,RedMi Note 12 PRO 4G,1510.54,1789.33,-278.8,0.16
16,Galaxy A31,1208.7,1469.0,-260.3,0.18
6,Moto G53,1038.7,1244.78,-206.08,0.17
18,Galaxy  A34,1341.92,1531.75,-189.83,0.12
46,RedMi 11 PRIME 5G,1115.62,1284.0,-168.38,0.13
8,Galaxy M13,959.21,1079.5,-120.29,0.11
23,A54,1278.89,1389.66,-110.76,0.08
19,Galaxy A53,2268.84,2374.0,-105.16,0.04
36,Poco F4,2814.01,2915.5,-101.49,0.03
4,Moto G41,1148.72,1236.22,-87.5,0.07
38,RealMe C30s,557.6,622.0,-64.4,0.1
0,Moto E13,567.05,631.02,-63.97,0.1
31,Poco M3,1189.48,1242.0,-52.52,0.04
33,Poco X4 GT,3101.1,3137.67,-36.57,0.01
32,Poco M5,1090.38,1123.42,-33.03,0.03
42,RealMe 9I,1284.88,1315.0,-30.12,0.02
39,RealMe C33,768.27,789.33,-21.06,0.03
56,Oscal C80,1682.11,1700.0,-17.89,0.01
29,Poco  C40,836.15,850.67,-14.51,0.02
13,Galaxy A13,1090.67,1090.67,0.0,0.0
9,Galaxy M14,1207.18,1145.67,61.52,0.05
43,RealMe 10 PRO PLUS,2377.7,2307.0,70.7,0.03
17,Galaxy A33,1700.5,1622.33,78.17,0.05
11,Galaxy M52,2817.26,2731.0,86.26,0.03
5,Moto G52,1277.75,1190.25,87.5,0.07
44,RealMe 11 PRO PLUS,2902.37,2802.67,99.7,0.04
27,Reno 7,2650.81,2519.0,131.81,0.05
34,Poco X5,1612.22,1476.5,135.72,0.09
1,Moto E22,931.64,789.0,142.64,0.18
54,ZenFone 8,3032.09,2867.0,165.09,0.06
52,Xiaomi 11t,3031.89,2863.5,168.39,0.06
37,Poco F5,2748.26,2569.5,178.76,0.07
49,RedMi Note 9t,1524.84,1237.0,287.84,0.23
2,Moto G22,1271.34,964.75,306.59,0.32
45,RedMi 10C,1163.91,854.33,309.58,0.36
3,Moto G32,1284.88,948.5,336.38,0.35
40,RealMe C53,1330.68,987.23,343.44,0.35
41,RealMe C55,1572.52,1202.42,370.1,0.31
35,Poco X5 PRO,2589.47,2199.53,389.93,0.18
14,Galaxy A14,1205.88,782.25,423.63,0.54
7,Moto G60,2227.73,1782.0,445.73,0.25
12,Galaxy M53,2407.8,1936.55,471.25,0.24
20,Galaxy A54,2343.13,1779.75,563.38,0.32
50,RedMi Note 11s,1667.31,1074.0,593.31,0.55
22,A16,1597.17,1000.0,597.17,0.6
48,RedMi Note 8,1587.97,910.0,677.97,0.75
21,Galaxy  S21 FE,2945.4,2235.67,709.73,0.32
