MARCA,MODELO,RAM,HDD,Expansivo,Freq. Core,5G,DOWNLOAD,UPLOAD,TELA,Ver,Princ.,Front,Angulo Maximo,Giroscópio,Bússola,BATERIA,PREÇO DE CALCULO
MOTOROLA,Moto E13,2,32,1,1.6,0,0,0,IPS,0,13,5,0,0,0,5000,631.025
MOTOROLA,Moto E22,4,64,1,2.1,0,0,0,IPS,0,16,5,80,0,0,4020,789
MOTOROLA,Moto G22,4,128,1,2.1,0,0,0,IPS,0,50,16,118,1,1,5000,964.75
MOTOROLA,Moto G32,4,128,1,2.2,0,390,150,IPS,0,50,16,118,1,1,5000,948.5
MOTOROLA,Moto G41,4,128,1,1.9,0,300,150,OLED,0,48,13,118,1,1,5000,1236.22
MOTOROLA,Moto G52,4,128,1,2.2,0,390,150,OLED,0,64,16,118,1,1,5000,1190.25
MOTOROLA,Moto G53,4,128,1,1.9,1,2500,1500,IPS,0,50,8,78,1,1,5000,1244.775
MOTOROLA,Moto G60,6,128,1,1.9,0,800,150,IPS,0,108,32,118,1,0,6000,1782
SAMSUNG,Galaxy M13,4,128,1,2,1,300,150,PLS,0,50,8,123,0,1,5000,1079.5
SAMSUNG,Galaxy M14,4,128,1,2.1,1,2550,1280,PLS,0,50,13,0,1,1,6000,1145.66666666667
SAMSUNG,Galaxy M23,6,128,1,1.9,1,3700,1600,PLS,0,50,8,123,1,1,5000,1759.5
SAMSUNG,Galaxy M52,6,128,0,2.1,1,3700,1600,AMOLED,0,64,32,123,1,1,5000,2731
SAMSUNG,Galaxy M53,8,128,1,2.1,1,2770,0,AMOLED,0,108,32,0,1,1,5000,1936.55
SAMSUNG,Galaxy A13,4,128,1,2,0,300,150,TFT,5,50,8,123,0,1,5000,1090.66666666667
SAMSUNG,Galaxy A14,4,64,1,1.9,0,300,150,PLS,0,50,13,0,0,1,5000,782.25
SAMSUNG,Galaxy A24 4G,4,128,1,2.1,0,390,150,AMOLED,0,50,13,123,1,1,5000,1554
SAMSUNG,Galaxy A31,4,128,1,1.8,0,0,0,AMOLED,0,48,20,0,1,1,5000,1469
SAMSUNG,Galaxy A33,6,128,1,2.1,1,0,0,AMOLED,5,48,13,123,1,1,5000,1622.33333333333
SAMSUNG,Galaxy  A34,6,128,1,2.2,1,0,0,AMOLED,0,48,13,123,1,1,5000,1531.75
SAMSUNG,Galaxy A53,6,256,1,2.1,1,0,0,AMOLED,5,64,32,123,1,1,5000,2374
SAMSUNG,Galaxy A54,8,256,1,2.2,1,3790,1280,AMOLED,0,50,32,123,1,1,5000,1779.75
SAMSUNG,Galaxy  S21 FE,6,128,0,2.5,1,7350,3670,AMOLED,0,12,32,123,1,1,4500,2235.66666666667
SAMSUNG,Galaxy  S22,8,256,0,2.2,1,10000,0,AMOLED,8,50,10,120,1,1,3700,3028
SAMSUNG,Galaxy S23,8,256,0,2.6,1,10000,3500,AMOLED,8,50,12,120,1,1,3900,4282.4975
OPPO,A16,3,32,0,2.1,0,300,150,IPS,0,13,8,88.8,0,1,5000,1000
OPPO,A54,4,128,1,2.1,0,300,150,IPS,0,13,16,88.8,0,1,5000,1389.655
OPPO,A57,3,64,1,2.1,0,300,150,IPS,0,13,8,0,0,0,5000,1453.97666666667
OPPO,A77,4,64,1,2.1,0,300,150,IPS,0,50,8,0,0,1,5000,1749.14333333333
OPPO,Reno 6 PRO,8,128,0,2.2,1,7500,3000,AMOLED,5,50,32,123,1,1,4500,4902.02
OPPO,Reno 7,8,256,1,2.2,0,390,150,AMOLED,5,64,32,89,1,1,4500,2519
OPPO,Reno 8 PRO,8,256,0,2.4,1,0,0,AMOLED,5,50,32,112,1,1,4500,4001.81
POCO,Poco  C40,3,32,1,1.8,0,0,0,IPS,1,13,5,0,0,0,6000,850.666666666667
POCO,Poco  C55,4,64,1,1.9,0,600,150,IPS,0,50,5,0,0,0,5000,1459
POCO,Poco M3,4,128,1,1.9,0,390,150,IPS,3,48,8,0,0,1,6000,1242
POCO,Poco M5,4,128,1,2.1,0,390,150,IPS,3,50,5,0,0,1,5000,1123.41666666667
POCO,Poco X4 GT,8,256,0,2.4,1,4700,0,IPS,5,64,20,120,1,1,5080,3137.66666666667
POCO,Poco X5,6,128,1,1.8,1,2500,1500,AMOLED,3,48,13,118,1,1,5000,1476.5
POCO,Poco X5 PRO,6,128,0,2.1,1,3700,1600,AMOLED,5,108,16,120,0,0,5000,2199.53333333333
POCO,Poco F4,6,128,0,2.2,1,7500,3000,AMOLED,5,64,20,119,1,1,4500,2915.5
POCO,Poco F4 GT,8,128,0,2.2,1,10000,0,AMOLED,7,64,20,120,1,1,4700,2857
POCO,Poco F5,8,256,0,2.2,1,4400,0,AMOLED,5,64,16,119,1,1,5000,2569.5
REALME,RealMe C30s,2,32,1,1.4,0,150,50,IPS,0,8,5,0,0,0,5000,622
REALME,RealMe C33,3,32,1,1.8,0,300,100,IPS,0,50,5,0,0,0,5000,789.333333333333
REALME,RealMe C53,6,128,1,1.8,0,300,100,IPS,0,50,8,0,1,1,5000,987.2325
REALME,RealMe C55,8,256,1,1.9,0,300,150,IPS,0,64,8,0,0,1,5000,1202.42
REALME,RealMe 9I,4,128,1,2.2,0,390,150,IPS,0,50,16,0,1,1,5000,1315
REALME,RealMe 10 PRO PLUS,8,256,0,2.1,1,0,0,AMOLED,0,108,16,112,1,1,5000,2307
REALME,RealMe 11 PRO PLUS,12,1024,0,2.2,1,0,0,AMOLED,0,200,32,112,1,1,5000,2802.66666666667
XIAOMI,RedMi 10C,4,64,1,2.2,0,390,150,IPS,3,50,5,0,0,0,5000,854.333333333333
XIAOMI,RedMi 11 PRIME 5G,4,64,1,2.1,1,2770,0,IPS,1,50,8,0,0,1,5000,1284
XIAOMI,RedMi 12,4,128,1,1.9,0,300,150,IPS,0,50,8,120,0,0,5000,1271.69666666667
XIAOMI,RedMi Note 8,4,64,1,1.9,0,600,150,IPS,5,48,13,0,1,1,4000,910
XIAOMI,RedMi Note 9t,4,128,1,2.1,1,2300,0,IPS,5,48,13,118,1,1,5000,1237
XIAOMI,RedMi Note 11s,6,128,1,2,0,390,150,AMOLED,3,108,16,118,1,1,5000,1074
